id,SPCapacityAvailable,temperature,windspeed,visibility,hour,weekday,weather_Clear,weather_Fog,weather_Ice Pellets,weather_Mostly Cloudy,weather_Overcast,weather_Partly Cloudy,weather_Rain,weather_Snow,weather_Thunderstorm
38,27,8,1,16,18.0,3,0,0,0,1,0,0,0,0,0
39,31,8,1,16,18.5,3,0,0,0,1,0,0,0,0,0
40,31,8,3,16,19.0,3,0,0,0,1,0,0,0,0,0
41,31,8,0,16,19.5,3,0,0,0,1,0,0,0,0,0
42,32,8,0,14,20.0,3,0,0,0,0,1,0,0,0,0
43,33,8,1,14,20.5,3,0,0,0,1,0,0,0,0,0
44,32,7,1,14,21.0,3,0,0,0,1,0,0,0,0,0
45,33,7,0,13,21.5,3,0,0,0,1,0,0,0,0,0
46,33,6,0,11,22.0,3,0,0,0,1,0,0,0,0,0
47,34,6,1,11,22.5,3,0,0,0,1,0,0,0,0,0
48,34,6,0,11,23.0,3,0,0,0,1,0,0,0,0,0
49,32,6,1,11,23.5,3,0,0,0,1,0,0,0,0,0
50,33,6,0,11,0.0,4,0,0,0,1,0,0,0,0,0
51,33,5,0,10,0.5,4,0,0,0,0,1,0,0,0,0
52,33,5,0,8,1.0,4,0,0,0,1,0,0,0,0,0
53,33,5,0,8,1.5,4,0,0,0,0,0,1,0,0,0
54,33,4,0,8,2.0,4,0,0,0,0,0,1,0,0,0
55,33,4,0,8,2.5,4,0,0,0,0,0,1,0,0,0
56,33,4,0,8,3.0,4,0,0,0,0,0,1,0,0,0
57,33,3,0,8,3.5,4,0,0,0,0,0,1,0,0,0
58,33,3,0,8,4.0,4,0,0,0,0,0,1,0,0,0
59,33,3,0,8,5.0,4,1,0,0,0,0,0,0,0,0
60,33,3,1,8,5.5,4,0,0,0,0,0,1,0,0,0
61,33,3,0,8,6.0,4,0,0,0,0,0,1,0,0,0
62,33,3,3,8,6.5,4,0,0,0,0,0,1,0,0,0
63,37,3,0,8,7.0,4,0,0,0,0,0,1,0,0,0
64,35,3,0,8,7.5,4,0,0,0,0,0,1,0,0,0
65,33,3,0,8,8.0,4,0,0,0,0,0,1,0,0,0
66,31,3,3,8,8.5,4,0,0,0,0,0,1,0,0,0
67,22,4,1,8,9.0,4,0,0,0,0,0,1,0,0,0
68,21,5,1,8,9.5,4,0,0,0,0,0,1,0,0,0
69,20,5,1,8,10.0,4,0,0,0,0,0,1,0,0,0
70,18,5,0,8,10.5,4,0,0,0,1,0,0,0,0,0
71,18,6,3,10,11.0,4,0,0,0,1,0,0,0,0,0
72,18,7,5,10,11.5,4,0,0,0,1,0,0,0,0,0
73,20,7,5,10,12.0,4,0,0,0,1,0,0,0,0,0
74,20,7,1,10,12.5,4,0,0,0,1,0,0,0,0,0
75,18,8,1,10,13.0,4,0,0,0,1,0,0,0,0,0
76,18,8,1,14,13.5,4,0,0,0,1,0,0,0,0,0
77,18,9,1,13,14.0,4,0,0,0,1,0,0,0,0,0
78,19,8,0,13,14.5,4,0,0,0,1,0,0,0,0,0
79,19,8,1,13,15.0,4,0,0,0,1,0,0,0,0,0
80,18,8,0,13,15.5,4,0,0,0,1,0,0,0,0,0
81,20,8,0,13,16.0,4,0,0,0,1,0,0,0,0,0
82,23,8,0,11,16.5,4,0,0,0,1,0,0,0,0,0
83,29,8,0,11,17.0,4,0,0,0,1,0,0,0,0,0
84,30,7,1,10,17.5,4,0,0,0,1,0,0,0,0,0
85,33,7,1,10,18.0,4,0,0,0,1,0,0,0,0,0
86,32,7,0,10,18.5,4,0,0,0,1,0,0,0,0,0
87,28,7,0,8,19.0,4,0,0,0,0,0,1,0,0,0
88,26,7,0,10,19.5,4,0,0,0,1,0,0,0,0,0
89,23,6,0,10,20.0,4,0,0,0,1,0,0,0,0,0
90,23,5,0,10,20.5,4,0,0,0,1,0,0,0,0,0
91,23,5,0,8,21.0,4,0,0,0,1,0,0,0,0,0
92,23,5,0,255,21.5,4,0,0,0,0,0,0,0,0,0
93,23,5,0,8,22.0,4,0,0,0,1,0,0,0,0,0
94,22,5,0,10,22.5,4,0,0,0,1,0,0,0,0,0
95,19,5,0,10,23.0,4,0,0,0,1,0,0,0,0,0
96,22,5,0,10,23.5,4,0,0,0,1,0,0,0,0,0
97,23,5,0,10,0.0,5,0,0,0,0,1,0,0,0,0
98,23,5,1,10,0.5,5,0,0,0,0,1,0,0,0,0
99,23,6,0,10,1.0,5,0,0,0,0,1,0,0,0,0
100,23,5,0,8,1.5,5,0,0,0,1,0,0,0,0,0
101,23,5,0,8,2.0,5,0,0,0,1,0,0,0,0,0
102,23,5,0,8,2.5,5,0,0,0,1,0,0,0,0,0
103,23,5,0,8,3.0,5,0,0,0,1,0,0,0,0,0
104,23,6,0,10,3.5,5,0,0,0,1,0,0,0,0,0
105,23,6,0,10,4.0,5,0,0,0,1,0,0,0,0,0
106,23,5,1,11,4.5,5,0,0,0,1,0,0,0,0,0
107,23,6,0,11,5.0,5,0,0,0,1,0,0,0,0,0
108,23,6,0,13,5.5,5,0,0,0,1,0,0,0,0,0
109,23,6,0,13,6.0,5,0,0,0,1,0,0,0,0,0
110,23,6,0,13,6.5,5,0,0,0,1,0,0,0,0,0
111,23,6,1,13,7.0,5,0,0,0,1,0,0,0,0,0
112,23,6,3,13,7.5,5,0,0,0,1,0,0,0,0,0
113,23,6,0,13,8.0,5,0,0,0,1,0,0,0,0,0
114,22,5,0,13,8.5,5,0,0,0,1,0,0,0,0,0
115,22,6,1,10,9.0,5,0,0,0,1,0,0,0,0,0
116,22,6,3,10,9.5,5,0,0,0,1,0,0,0,0,0
117,20,6,10,10,10.0,5,0,0,0,1,0,0,0,0,0
118,18,6,5,10,10.5,5,0,0,0,1,0,0,0,0,0
119,20,5,3,10,11.0,5,0,0,0,0,1,0,0,0,0
120,19,5,6,10,11.5,5,0,0,0,0,1,0,0,0,0
121,18,5,1,10,12.0,5,0,0,0,1,0,0,0,0,0
122,17,5,10,8,12.5,5,0,0,0,1,0,0,0,0,0
123,18,5,1,11,13.0,5,0,0,0,1,0,0,0,0,0
124,18,5,5,11,13.5,5,0,0,0,1,0,0,0,0,0
125,17,5,6,13,14.0,5,0,0,0,1,0,0,0,0,0
126,18,5,8,13,14.5,5,0,0,0,1,0,0,0,0,0
127,17,6,6,13,15.0,5,0,0,0,0,0,1,0,0,0
128,17,6,18,13,15.5,5,0,0,0,1,0,0,0,0,0
129,18,6,11,13,16.0,5,0,0,0,1,0,0,0,0,0
130,18,6,3,13,16.5,5,0,0,0,1,0,0,0,0,0
131,18,6,5,14,17.0,5,0,0,0,0,1,0,0,0,0
132,18,6,14,14,17.5,5,0,0,0,0,1,0,0,0,0
133,15,6,8,14,18.0,5,0,0,0,0,1,0,0,0,0
134,18,6,8,13,18.5,5,0,0,0,0,1,0,0,0,0
135,18,6,6,13,19.0,5,0,0,0,0,1,0,0,0,0
136,18,6,10,13,19.5,5,0,0,0,0,1,0,0,0,0
137,15,6,6,13,20.0,5,0,0,0,0,1,0,0,0,0
138,15,6,10,11,20.5,5,0,0,0,0,1,0,0,0,0
139,12,6,18,11,21.0,5,0,0,0,0,1,0,0,0,0
140,12,6,5,13,21.5,5,0,0,0,0,1,0,0,0,0
141,14,6,6,11,22.0,5,0,0,0,0,1,0,0,0,0
142,16,6,8,8,22.5,5,0,0,0,0,1,0,0,0,0
143,17,6,10,8,23.0,5,0,0,0,0,1,0,0,0,0
144,17,6,8,8,23.5,5,0,0,0,0,1,0,0,0,0
145,20,6,6,8,0.0,6,0,0,0,0,1,0,0,0,0
146,22,6,10,6,0.5,6,0,0,0,0,1,0,0,0,0
147,22,6,3,6,1.0,6,0,0,0,0,1,0,0,0,0
148,22,6,6,6,1.5,6,0,0,0,0,1,0,0,0,0
149,22,7,3,6,2.0,6,0,0,0,0,1,0,0,0,0
150,22,7,5,6,2.5,6,0,0,0,0,1,0,0,0,0
151,22,7,5,6,3.0,6,0,0,0,0,1,0,0,0,0
152,22,7,5,6,3.5,6,0,0,0,0,1,0,0,0,0
153,22,7,5,6,4.0,6,0,0,0,0,1,0,0,0,0
154,22,8,5,6,4.5,6,0,0,0,0,1,0,0,0,0
155,22,8,6,6,5.0,6,0,0,0,0,1,0,0,0,0
156,22,8,8,6,5.5,6,0,0,0,0,1,0,0,0,0
157,22,8,5,6,6.0,6,0,0,0,0,1,0,0,0,0
158,22,8,1,6,6.5,6,0,0,0,0,1,0,0,0,0
159,22,9,8,8,7.0,6,0,0,0,1,0,0,0,0,0
160,22,9,3,8,7.5,6,0,0,0,1,0,0,0,0,0
161,22,9,10,8,8.0,6,0,0,0,1,0,0,0,0,0
162,22,9,1,8,8.5,6,0,0,0,1,0,0,0,0,0
163,22,9,3,8,9.0,6,0,0,0,1,0,0,0,0,0
164,23,9,5,10,9.5,6,0,0,0,1,0,0,0,0,0
165,22,10,3,10,10.0,6,0,0,0,1,0,0,0,0,0
166,23,10,11,13,10.5,6,0,0,0,1,0,0,0,0,0
167,23,11,10,14,11.0,6,0,0,0,0,0,1,0,0,0
168,23,11,6,14,11.5,6,0,0,0,1,0,0,0,0,0
169,23,12,1,14,12.0,6,0,0,0,1,0,0,0,0,0
170,22,12,8,14,12.5,6,0,0,0,0,1,0,0,0,0
171,22,12,8,14,13.0,6,0,0,0,0,1,0,0,0,0
172,21,12,3,16,13.5,6,0,0,0,0,1,0,0,0,0
173,20,12,5,16,14.0,6,0,0,0,0,1,0,0,0,0
174,19,12,5,16,14.5,6,0,0,0,0,1,0,0,0,0
175,19,12,1,16,15.0,6,0,0,0,0,1,0,0,0,0
176,20,11,10,16,15.5,6,0,0,0,0,1,0,0,0,0
177,21,11,10,16,16.0,6,0,0,0,0,1,0,0,0,0
178,21,11,5,16,16.5,6,0,0,0,0,1,0,0,0,0
179,20,11,16,16,17.0,6,0,0,0,0,1,0,0,0,0
180,22,11,11,16,17.5,6,0,0,0,0,1,0,0,0,0
181,24,11,6,16,18.0,6,0,0,0,0,1,0,0,0,0
182,26,11,7,16,18.5,6,0,0,0,0,1,0,0,0,0
183,26,11,10,16,19.0,6,0,0,0,0,1,0,0,0,0
184,29,11,8,14,19.5,6,0,0,0,0,1,0,0,0,0
185,31,11,10,16,20.0,6,0,0,0,0,1,0,0,0,0
186,31,11,8,16,20.5,6,0,0,0,0,1,0,0,0,0
187,31,11,10,16,21.0,6,0,0,0,0,1,0,0,0,0
188,31,11,8,16,21.5,6,0,0,0,0,1,0,0,0,0
189,32,11,5,16,22.0,6,0,0,0,0,1,0,0,0,0
190,32,11,6,13,22.5,6,0,0,0,0,1,0,0,0,0
191,32,11,8,13,23.0,6,0,0,0,0,1,0,0,0,0
192,32,11,3,14,23.5,6,0,0,0,0,1,0,0,0,0
193,33,11,6,14,0.0,0,0,0,0,0,1,0,0,0,0
194,33,11,5,14,0.5,0,0,0,0,0,1,0,0,0,0
195,33,11,5,14,1.0,0,0,0,0,0,1,0,0,0,0
196,33,11,5,16,1.5,0,0,0,0,0,1,0,0,0,0
197,33,11,6,16,2.0,0,0,0,0,0,1,0,0,0,0
198,33,11,8,16,2.5,0,0,0,0,0,1,0,0,0,0
199,33,11,18,16,3.0,0,0,0,0,0,1,0,0,0,0
200,33,11,3,16,3.5,0,0,0,0,0,1,0,0,0,0
201,33,11,8,16,4.0,0,0,0,0,0,1,0,0,0,0
202,33,11,6,16,4.5,0,0,0,0,0,1,0,0,0,0
203,33,11,11,16,5.0,0,0,0,0,0,1,0,0,0,0
204,33,11,6,16,5.5,0,0,0,0,0,1,0,0,0,0
205,33,11,10,16,6.0,0,0,0,0,0,1,0,0,0,0
206,33,11,3,16,6.5,0,0,0,0,0,1,0,0,0,0
207,32,11,18,16,7.0,0,0,0,0,0,1,0,0,0,0
208,30,11,3,16,7.5,0,0,0,0,0,1,0,0,0,0
209,29,11,14,16,8.0,0,0,0,0,0,1,0,0,0,0
210,18,11,10,16,8.5,0,0,0,0,0,1,0,0,0,0
211,9,11,10,16,9.0,0,0,0,0,0,1,0,0,0,0
212,7,11,6,16,9.5,0,0,0,0,0,1,0,0,0,0
213,6,11,8,16,10.0,0,0,0,0,0,1,0,0,0,0
214,6,11,6,16,10.5,0,0,0,0,0,1,0,0,0,0
215,6,11,13,16,11.0,0,0,0,0,0,1,0,0,0,0
216,5,11,5,16,11.5,0,0,0,0,0,1,0,0,0,0
217,5,11,20,16,12.0,0,0,0,0,0,1,0,0,0,0
218,3,11,10,16,12.5,0,0,0,0,0,1,0,0,0,0
219,3,11,3,16,13.0,0,0,0,0,0,1,0,0,0,0
220,0,11,31,16,13.5,0,0,0,0,0,1,0,0,0,0
221,0,12,1,16,14.0,0,0,0,0,0,1,0,0,0,0
222,5,12,6,16,14.5,0,0,0,0,0,1,0,0,0,0
223,5,12,8,16,15.0,0,0,0,0,0,1,0,0,0,0
224,5,12,10,16,15.5,0,0,0,0,0,1,0,0,0,0
225,7,12,1,16,16.0,0,0,0,0,0,1,0,0,0,0
226,10,11,3,16,16.5,0,0,0,0,0,1,0,0,0,0
227,16,10,6,4,17.0,0,0,0,0,0,0,0,1,0,0
228,17,10,11,10,17.5,0,0,0,0,0,1,0,0,0,0
229,26,11,6,10,18.0,0,0,0,0,0,1,0,0,0,0
230,24,10,5,5,18.5,0,0,1,0,0,0,0,0,0,0
231,24,10,6,5,19.0,0,0,1,0,0,0,0,0,0,0
232,25,9,0,14,19.5,0,0,0,0,0,1,0,0,0,0
233,27,9,5,16,20.0,0,0,0,0,1,0,0,0,0,0
234,27,9,4,13,20.5,0,0,0,0,0,0,1,0,0,0
235,28,8,0,13,21.0,0,0,0,0,0,0,1,0,0,0
236,29,7,0,16,21.5,0,0,0,0,0,0,1,0,0,0
237,32,7,0,16,22.0,0,0,0,0,0,0,1,0,0,0
238,35,8,4,16,22.5,0,0,0,0,0,0,1,0,0,0
239,37,6,0,16,23.0,0,0,0,0,0,0,1,0,0,0
240,36,6,0,16,23.5,0,1,0,0,0,0,0,0,0,0
241,36,5,1,16,0.0,1,1,0,0,0,0,0,0,0,0
242,36,5,0,16,0.5,1,1,0,0,0,0,0,0,0,0
243,36,4,0,16,1.0,1,1,0,0,0,0,0,0,0,0
244,36,4,0,16,1.5,1,1,0,0,0,0,0,0,0,0
245,36,3,0,16,2.0,1,1,0,0,0,0,0,0,0,0
246,36,3,0,14,2.5,1,1,0,0,0,0,0,0,0,0
247,36,3,0,14,3.0,1,1,0,0,0,0,0,0,0,0
248,36,2,0,14,3.5,1,1,0,0,0,0,0,0,0,0
249,36,2,0,14,4.0,1,1,0,0,0,0,0,0,0,0
250,36,2,0,11,4.5,1,1,0,0,0,0,0,0,0,0
251,36,2,0,11,5.0,1,1,0,0,0,0,0,0,0,0
252,36,2,1,10,5.5,1,1,0,0,0,0,0,0,0,0
253,36,2,0,10,6.0,1,1,0,0,0,0,0,0,0,0
254,36,1,0,10,6.5,1,1,0,0,0,0,0,0,0,0
255,35,1,0,10,7.0,1,1,0,0,0,0,0,0,0,0
256,31,1,0,8,7.5,1,1,0,0,0,0,0,0,0,0
257,28,1,0,8,8.0,1,1,0,0,0,0,0,0,0,0
258,22,1,0,8,8.5,1,1,0,0,0,0,0,0,0,0
259,17,1,0,2,9.0,1,0,1,0,0,0,0,0,0,0
260,12,2,0,8,9.5,1,1,0,0,0,0,0,0,0,0
261,9,3,0,8,10.0,1,1,0,0,0,0,0,0,0,0
262,8,4,1,8,10.5,1,0,0,0,0,0,1,0,0,0
263,10,4,5,10,11.0,1,0,0,0,0,0,1,0,0,0
264,6,6,1,11,11.5,1,0,0,0,0,0,1,0,0,0
265,6,6,3,14,12.0,1,0,0,0,0,0,1,0,0,0
266,6,8,6,16,12.5,1,0,0,0,0,0,1,0,0,0
267,7,9,3,16,13.0,1,0,0,0,0,0,1,0,0,0
268,6,9,10,16,13.5,1,0,0,0,0,0,1,0,0,0
269,6,10,1,16,14.0,1,0,0,0,0,0,1,0,0,0
270,5,9,3,16,14.5,1,0,0,0,0,0,1,0,0,0
271,6,10,1,16,15.0,1,0,0,0,0,0,1,0,0,0
272,8,10,1,16,15.5,1,1,0,0,0,0,0,0,0,0
273,12,9,3,16,16.0,1,1,0,0,0,0,0,0,0,0
274,13,9,0,16,16.5,1,0,0,0,0,0,1,0,0,0
275,21,9,1,16,17.0,1,0,0,0,0,0,1,0,0,0
276,25,8,0,16,17.5,1,0,0,0,1,0,0,0,0,0
277,25,8,0,16,18.0,1,0,0,0,1,0,0,0,0,0
278,25,7,0,14,18.5,1,0,0,0,1,0,0,0,0,0
279,25,6,0,14,19.0,1,0,0,0,1,0,0,0,0,0
280,25,6,0,14,19.5,1,0,0,0,1,0,0,0,0,0
281,26,4,0,13,20.0,1,0,0,0,0,1,0,0,0,0
282,27,4,0,11,20.5,1,0,0,0,1,0,0,0,0,0
283,28,4,0,11,21.0,1,0,0,0,1,0,0,0,0,0
284,31,5,1,10,21.5,1,0,0,0,1,0,0,0,0,0
285,32,7,1,8,22.5,1,0,0,0,1,0,0,0,0,0
286,32,8,5,8,23.0,1,0,0,0,1,0,0,0,0,0
287,32,8,0,8,23.5,1,0,0,0,0,1,0,0,0,0
288,32,8,5,8,0.0,2,0,0,0,0,1,0,0,0,0
289,32,9,5,6,0.5,2,0,0,0,0,1,0,0,0,0
290,32,9,11,6,1.0,2,0,0,0,0,1,0,0,0,0
291,32,9,5,6,1.5,2,0,0,0,0,1,0,0,0,0
292,32,10,1,6,2.0,2,0,0,0,0,1,0,0,0,0
293,32,10,8,13,2.5,2,0,0,0,0,1,0,0,0,0
294,32,10,8,13,3.0,2,0,0,0,0,1,0,0,0,0
295,32,10,13,8,3.5,2,0,0,0,0,1,0,0,0,0
296,32,10,11,8,4.0,2,0,0,0,0,1,0,0,0,0
297,32,10,13,8,4.5,2,0,0,0,0,1,0,0,0,0
298,32,10,11,8,5.0,2,0,0,0,0,1,0,0,0,0
299,32,10,11,8,5.5,2,0,0,0,0,1,0,0,0,0
300,32,10,21,10,6.0,2,0,0,0,0,1,0,0,0,0
301,32,10,6,5,6.5,2,0,0,0,0,0,0,1,0,0
302,30,9,6,5,7.0,2,0,0,0,0,0,0,1,0,0
303,31,9,5,11,7.5,2,0,0,0,0,1,0,0,0,0
304,30,9,6,11,8.0,2,0,0,0,0,1,0,0,0,0
305,28,9,6,11,8.5,2,0,0,0,0,1,0,0,0,0
306,22,9,20,10,9.0,2,0,0,0,0,1,0,0,0,0
307,20,9,11,11,9.5,2,0,0,0,0,1,0,0,0,0
308,16,8,16,5,10.5,2,0,0,0,0,0,0,1,0,0
309,15,8,11,3,11.0,2,0,0,0,0,0,0,1,0,0
310,18,9,14,3,11.5,2,0,0,0,0,0,0,1,0,0
311,25,9,13,3,12.0,2,0,0,0,0,0,0,1,0,0
312,23,8,5,3,12.5,2,0,0,0,0,0,0,1,0,0
313,24,8,1,3,13.0,2,0,0,0,0,0,0,1,0,0
314,29,8,8,3,13.5,2,0,0,0,0,0,0,1,0,0
315,31,8,13,3,14.0,2,0,0,0,0,0,0,1,0,0
316,32,8,6,3,14.5,2,0,0,0,0,0,0,1,0,0
317,31,8,5,5,15.0,2,0,0,0,0,0,0,1,0,0
318,28,7,0,3,15.5,2,0,0,0,0,0,0,1,0,0
319,28,5,3,3,16.0,2,0,0,0,0,0,0,1,0,0
320,28,5,3,3,16.5,2,0,0,0,0,0,0,1,0,0
321,28,5,6,16,17.0,2,0,0,0,0,1,0,0,0,0
322,26,5,3,16,17.5,2,0,0,0,1,0,0,0,0,0
323,29,4,3,16,18.0,2,0,0,0,0,0,1,0,0,0
324,27,5,6,16,18.5,2,0,0,0,0,0,1,0,0,0
325,24,5,0,16,19.0,2,0,0,0,0,0,1,0,0,0
326,22,5,1,16,19.5,2,0,0,0,0,0,1,0,0,0
327,21,5,1,16,20.0,2,0,0,0,0,0,1,0,0,0
328,22,4,3,16,21.0,2,0,0,0,0,0,1,0,0,0
329,26,4,0,16,21.5,2,0,0,0,0,0,1,0,0,0
330,26,4,1,16,22.0,2,0,0,0,0,0,1,0,0,0
331,28,3,11,16,22.5,2,1,0,0,0,0,0,0,0,0
332,29,3,5,16,23.0,2,1,0,0,0,0,0,0,0,0
333,29,3,3,16,23.5,2,1,0,0,0,0,0,0,0,0
334,28,3,6,16,0.0,3,1,0,0,0,0,0,0,0,0
335,28,3,1,16,0.5,3,1,0,0,0,0,0,0,0,0
336,29,3,10,16,1.0,3,1,0,0,0,0,0,0,0,0
337,29,3,3,16,1.5,3,1,0,0,0,0,0,0,0,0
338,29,3,5,16,2.0,3,1,0,0,0,0,0,0,0,0
339,29,3,3,16,2.5,3,1,0,0,0,0,0,0,0,0
340,29,2,1,16,3.0,3,1,0,0,0,0,0,0,0,0
341,29,2,5,16,3.5,3,1,0,0,0,0,0,0,0,0
342,29,2,3,16,4.0,3,1,0,0,0,0,0,0,0,0
343,29,2,5,16,4.5,3,1,0,0,0,0,0,0,0,0
344,29,2,1,16,5.0,3,1,0,0,0,0,0,0,0,0
345,29,2,0,16,5.5,3,1,0,0,0,0,0,0,0,0
346,29,2,3,16,6.0,3,0,0,0,0,0,1,0,0,0
347,29,2,3,14,6.5,3,0,0,0,0,0,1,0,0,0
348,28,3,6,14,7.0,3,0,0,0,0,0,1,0,0,0
349,26,3,5,14,7.5,3,0,0,0,1,0,0,0,0,0
350,26,3,3,16,8.0,3,0,0,0,1,0,0,0,0,0
351,24,3,3,16,8.5,3,0,0,0,1,0,0,0,0,0
352,19,3,3,16,9.0,3,0,0,0,1,0,0,0,0,0
353,13,3,14,11,9.5,3,0,0,0,1,0,0,0,0,0
354,10,3,1,10,10.0,3,0,0,0,1,0,0,0,0,0
355,9,2,6,10,10.5,3,0,0,0,1,0,0,0,0,0
356,8,2,5,11,11.0,3,0,0,0,1,0,0,0,0,0
357,8,4,3,14,12.0,3,0,0,0,0,0,1,0,0,0
358,9,6,5,14,12.5,3,0,0,0,0,0,1,0,0,0
359,12,7,3,255,13.0,3,0,0,0,0,0,0,0,0,0
360,11,7,10,16,13.5,3,0,0,0,0,0,1,0,0,0
361,11,8,3,16,14.0,3,0,0,0,0,0,1,0,0,0
362,10,7,0,16,14.5,3,0,0,0,0,0,1,0,0,0
363,19,6,0,16,15.0,3,0,0,0,0,0,1,0,0,0
364,18,6,5,14,15.5,3,0,0,0,0,0,1,0,0,0
365,18,6,0,16,16.0,3,0,0,0,0,0,1,0,0,0
366,19,6,3,16,16.5,3,0,0,0,0,0,1,0,0,0
367,25,6,1,16,17.0,3,0,0,0,0,0,1,0,0,0
368,28,6,5,16,17.5,3,0,0,0,0,0,1,0,0,0
369,31,5,1,16,18.0,3,0,0,0,0,0,1,0,0,0
370,27,5,0,16,18.5,3,0,0,0,0,0,1,0,0,0
371,13,4,1,16,19.5,3,0,0,0,0,0,1,0,0,0
372,9,4,3,16,20.0,3,0,0,0,0,0,1,0,0,0
373,10,4,3,16,20.5,3,0,0,0,1,0,0,0,0,0
374,12,3,5,16,21.0,3,0,0,0,1,0,0,0,0,0
375,14,3,3,11,21.5,3,0,0,0,1,0,0,0,0,0
376,14,3,6,6,22.0,3,0,0,0,0,0,0,1,0,0
377,20,3,3,14,22.5,3,0,0,0,1,0,0,0,0,0
378,22,3,1,10,23.0,3,0,0,0,0,0,0,1,0,0
379,24,3,4,3,23.5,3,0,0,0,0,0,0,1,0,0
380,26,3,6,10,0.5,4,0,0,0,1,0,0,0,0,0
381,27,3,5,10,1.5,4,0,0,0,1,0,0,0,0,0
382,27,4,0,11,2.0,4,0,0,0,0,1,0,0,0,0
383,27,4,0,14,2.5,4,0,0,0,0,1,0,0,0,0
384,27,4,3,16,3.0,4,0,0,0,0,1,0,0,0,0
385,27,4,3,16,3.5,4,0,0,0,0,1,0,0,0,0
386,27,4,1,16,4.0,4,0,0,0,1,0,0,0,0,0
387,27,4,3,16,4.5,4,0,0,0,1,0,0,0,0,0
388,27,4,1,16,5.0,4,0,0,0,1,0,0,0,0,0
389,27,4,1,14,5.5,4,0,0,0,0,1,0,0,0,0
390,27,4,0,14,6.0,4,0,0,0,0,1,0,0,0,0
391,27,3,0,3,6.5,4,0,0,0,0,0,0,1,0,0
392,26,4,3,5,7.0,4,0,0,0,0,0,0,1,0,0
393,25,4,1,13,7.5,4,0,0,0,1,0,0,0,0,0
394,25,4,0,11,8.0,4,0,0,0,0,1,0,0,0,0
395,24,4,1,16,8.5,4,0,0,0,0,1,0,0,0,0
396,18,4,0,16,9.0,4,0,0,0,0,1,0,0,0,0
397,17,5,0,13,9.5,4,0,0,0,0,1,0,0,0,0
398,15,5,1,13,10.0,4,0,0,0,0,1,0,0,0,0
399,9,5,1,14,10.5,4,0,0,0,0,1,0,0,0,0
400,11,5,1,13,11.0,4,0,0,0,0,1,0,0,0,0
401,10,4,3,8,11.5,4,0,0,0,0,0,0,1,0,0
402,11,4,1,6,12.0,4,0,0,0,0,0,0,1,0,0
403,9,5,0,14,12.5,4,0,0,0,0,1,0,0,0,0
